title,author(s),retail_price,discounted/sale_price,isbn10,book_type,number_of_pages
American Royals,Katharine McGee,9.99,9.99,0241365988,ePUB,368.0
Star Trek,Diane Duane,5.99,5.99,0743422279,ePUB,256.0
The Great Hunt,Robert Jordan,11.99,11.99,0748115358,ePUB,736.0
Across the Seas,Griff Hosker,9.19,9.19,0463983092,ePUB,
The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,19.99,18.25,0007461240,Paperback,224.0
The Twits,Roald Dahl,9.99,9.99,0141930160,ePUB,112.0
Familiar Stranger,Stuart Hall,15.99,15.99,0241290007,ePUB,256.0
Homage to Catalonia,George Orwell,15.99,15.99,0141911719,ePUB,272.0
Angels,Marian Keyes,15.99,15.99,0141928689,ePUB,496.0
Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,9.99,9.99,0141342439,ePUB,528.0
The Lost (Paula Maguire 1),Claire McGowan,11.99,11.99,0755386396,ePUB,305.0
Boy,Roald Dahl,9.99,9.99,0141903120,ePUB,192.0
Anxiety,Joshua Fletcher,9.38,9.38,1310517223,ePUB,
George Washington's Secret Six,Brian Kilmeade|Don Yaeger,22.29,17.99,0698137655,ePUB,288.0
Darkfever,Karen Marie Moning,14.66,11.99,044033635X,ePUB,
Jamie's Food Tube,Gennaro Contaldo,14.99,14.99,1405921102,ePUB,128.0
The Name of the Wind,Patrick Rothfuss,12.99,12.99,0575087056,ePUB,672.0
Kiss,Jill Mansell,26.99,26.4,0755332555,Paperback,512.0
The Jury Master,Robert Dugoni,17.99,17.99,0446539651,ePUB,300.0
The Book of Why,Judea Pearl|Dana Mackenzie,16.99,16.99,0241242649,ePUB,400.0
The Night Stalker,Chris Carter,12.99,12.99,0857202995,ePUB,464.0
Blow Fly,Patricia Cornwell,11.99,11.99,0748109269,ePUB,544.0
Couples That Work,Jennifer Petriglieri,18.99,18.99,0241379016,ePUB,304.0
The Sapphire Widow,Dinah Jefferies,15.99,15.99,0241980755,ePUB,400.0
Time of Contempt,Andrzej Sapkowski,12.99,12.99,0575088435,ePUB,320.0
Typhoon Fury,Clive Cussler|Boyd Morrison,15.99,15.99,1405927690,ePUB,480.0
The Eagle's Conquest (Eagles of the Empire 2),Simon Scarrow,12.99,12.99,0755350847,ePUB,448.0
The Divine Comedy,Dante Alighieri,25.7,20.99,1101117990,ePUB,928.0
A Maiden's Grave,Jeffery Deaver,14.66,11.99,1101209356,ePUB,
No One Left To Tell (The Baltimore Series Book 2),Karen Rose,11.99,11.99,0755373979,ePUB,451.0
The Snow Child,Eowyn Ivey,12.99,12.99,075538055X,ePUB,318.0
The Hunger Games (USA Edition),Suzanne Collins,40.95,40.95,0439023483,Hardcover,384.0
Made Things,Adrian Tchaikovsky,6.22,5.99,1250232988,ePUB,
Percy Jackson and the Sea of Monsters (Book 2),Rick Riordan,12.99,12.99,0141926902,ePUB,288.0
Strata,Terry Pratchett,14.99,14.99,1407035533,ePUB,288.0
Misbehaving,Richard H. Thaler,16.99,16.99,0141966157,ePUB,256.0
Conversations with Friends,Sally Rooney,16.49,14.99,0571333141,ePUB,272.0
My East End,Gilda O'Neill,15.99,15.99,0141929383,ePUB,384.0
The Promise,Lesley Pearse,15.99,15.99,0141964081,ePUB,528.0
Artemis Fowl and The Arctic Incident,Eoin Colfer,9.99,9.99,014192957X,ePUB,336.0
Excalibur,Bernard Cornwell,15.99,15.99,014192974X,ePUB,496.0
Myers+Chang at Home,Joanne Chang|Karen Akunowicz,46.19,36.99,0544836731,ePUB,320.0
23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,15.99,15.99,0141957867,ePUB,304.0
Dubliners,James Joyce|Malachy McCourt,8.55,7.99,1101042184,ePUB,272.0
How I Became The Fittest Woman On Earth,Tia-Clair Toomey,17.59,16.99,0646987283,ePUB,202.0
Mastering Color Knitting,Melissa Leapman,15.42,12.99,030796549X,ePUB,
Stitch 'N Bitch Crochet,Debbie Stoller,23.99,23.99,0761174982,ePUB,250.0
Lord of Chaos,Robert Jordan,12.99,12.99,0748115390,ePUB,1056.0
No Way Back,M. J. Arlidge,2.99,2.99,1405926953,ePUB,40.0
Infinity Gauntlet,Jim Starlin,16.12,12.99,0785170650,ePUB,
Feel Better In 5,Dr Rangan Chatterjee,19.99,19.99,0241397812,ePUB,272.0
A Wartime Christmas,Carol Rivers,8.99,8.99,0857208349,ePUB,464.0
Blood Ties,Samantha Hayes,12.99,12.99,0755376609,ePUB,307.0
Escaping Destiny,Amelia Hutchins,6.99,6.99,0991190920,ePUB,
Christmas Bells,Jennifer Chiaverini,18.85,15.99,0698407091,ePUB,
The 7 Habits Of Highly Effective Teenagers,Sean Covey,16.99,16.99,0857206478,ePUB,288.0
The Five Dysfunctions of a Team,Patrick M. Lencioni,32.99,32.99,0470893869,ePUB,240.0
The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,12.99,12.99,0141967560,ePUB,592.0
Nineteen Eighty-Four,George Orwell,10.99,10.99,0141919957,ePUB,400.0
The King's Men,Nora Sakavic,1.43,1.43,1310839697,ePUB,
